Order,Year,Month,Tag,Pre
730,1961,10,196110,108
731,1961,11,196111,1154
732,1961,12,196112,814
733,1962,1,196201,95
734,1962,2,196202,235
735,1962,3,196203,569
736,1962,4,196204,1308
737,1962,5,196205,3489
738,1962,6,196206,4420
739,1962,7,196207,928
740,1962,8,196208,1247
741,1962,9,196209,1595
742,1962,10,196210,510
743,1962,11,196211,895
744,1962,12,196212,23
745,1963,1,196301,75
746,1963,2,196302,542
747,1963,3,196303,771
748,1963,4,196304,555
749,1963,5,196305,1001
750,1963,6,196306,1745
751,1963,7,196307,2116
752,1963,8,196308,1297
753,1963,9,196309,1239
754,1963,10,196310,690
755,1963,11,196311,882
756,1963,12,196312,353
757,1964,1,196401,678
758,1964,2,196402,293
759,1964,3,196403,1033
760,1964,4,196404,1353
761,1964,5,196405,1774
762,1964,6,196406,3232
763,1964,7,196407,906
764,1964,8,196408,3360
765,1964,9,196409,1887
766,1964,10,196410,558
767,1964,11,196411,11
768,1964,12,196412,22
769,1965,1,196501,138
770,1965,2,196502,830
771,1965,3,196503,1062
772,1965,4,196504,3691
773,1965,5,196505,2430
774,1965,6,196506,3168
775,1965,7,196507,1319
776,1965,8,196508,1257
777,1965,9,196509,1899
778,1965,10,196510,1323
779,1965,11,196511,1111
780,1965,12,196512,256
781,1966,1,196601,128
782,1966,2,196602,430
783,1966,3,196603,1258
784,1966,4,196604,2103
785,1966,5,196605,896
786,1966,6,196606,5590
787,1966,7,196607,2143
788,1966,8,196608,1012
789,1966,9,196609,184
790,1966,10,196610,642
791,1966,11,196611,249
792,1966,12,196612,373
793,1967,1,196701,400
794,1967,2,196702,990
795,1967,3,196703,398
796,1967,4,196704,2001
797,1967,5,196705,2468
798,1967,6,196706,1453
799,1967,7,196707,1070
800,1967,8,196708,4752
801,1967,9,196709,1046
802,1967,10,196710,90
803,1967,11,196711,750
804,1967,12,196712,361
805,1968,1,196801,155
806,1968,2,196802,886
807,1968,3,196803,1266
808,1968,4,196804,1531
809,1968,5,196805,2613
810,1968,6,196806,3955
811,1968,7,196807,1718
812,1968,8,196808,3367
813,1968,9,196809,447
814,1968,10,196810,233
815,1968,11,196811,370
816,1968,12,196812,248
817,1969,1,196901,1416
818,1969,2,196902,339
819,1969,3,196903,1116
820,1969,4,196904,1886
821,1969,5,196905,3187
822,1969,6,196906,2595
823,1969,7,196907,2149
824,1969,8,196908,1914
825,1969,9,196909,490
826,1969,10,196910,934
827,1969,11,196911,176
828,1969,12,196912,35
829,1970,1,197001,550
830,1970,2,197002,231
831,1970,3,197003,898
832,1970,4,197004,1722
833,1970,5,197005,3342
834,1970,6,197006,3277
835,1970,7,197007,1954
836,1970,8,197008,3265
837,1970,9,197009,1744
838,1970,10,197010,929
839,1970,11,197011,288
840,1970,12,197012,525
841,1971,1,197101,327
842,1971,2,197102,260
843,1971,3,197103,189
844,1971,4,197104,1680
845,1971,5,197105,2927
846,1971,6,197106,4094
847,1971,7,197107,1255
848,1971,8,197108,2434
849,1971,9,197109,902
850,1971,10,197110,263
851,1971,11,197111,29
852,1971,12,197112,948
853,1972,1,197201,220
854,1972,2,197202,579
855,1972,3,197203,351
856,1972,4,197204,1741
857,1972,5,197205,4187
858,1972,6,197206,2322
859,1972,7,197207,1013
860,1972,8,197208,3141
861,1972,9,197209,1474
862,1972,10,197210,653
863,1972,11,197211,1625
864,1972,12,197212,780
865,1973,1,197301,913
866,1973,2,197302,164
867,1973,3,197303,931
868,1973,4,197304,2599
869,1973,5,197305,4119
870,1973,6,197306,2432
871,1973,7,197307,1918
872,1973,8,197308,3435
873,1973,9,197309,1573
874,1973,10,197310,906
875,1973,11,197311,414
876,1973,12,197312,12
877,1974,1,197401,336
878,1974,2,197402,545
879,1974,3,197403,719
880,1974,4,197404,1504
881,1974,5,197405,2114
882,1974,6,197406,3062
883,1974,7,197407,2496
884,1974,8,197408,1131
885,1974,9,197409,852
886,1974,10,197410,845
887,1974,11,197411,205
888,1974,12,197412,572
889,1975,1,197501,682
890,1975,2,197502,822
891,1975,3,197503,1817
892,1975,4,197504,1774
893,1975,5,197505,4223
894,1975,6,197506,2228
895,1975,7,197507,1931
896,1975,8,197508,2845
897,1975,9,197509,871
898,1975,10,197510,1237
899,1975,11,197511,279
900,1975,12,197512,703
901,1976,1,197601,33
902,1976,2,197602,451
903,1976,3,197603,674
904,1976,4,197604,2265
905,1976,5,197605,2650
906,1976,6,197606,2387
907,1976,7,197607,1634
908,1976,8,197608,2946
909,1976,9,197609,1761
910,1976,10,197610,1158
911,1976,11,197611,82
912,1976,12,197612,116
913,1977,1,197701,410
914,1977,2,197702,95
915,1977,3,197703,239
916,1977,4,197704,1156
917,1977,5,197705,2763
918,1977,6,197706,2733
919,1977,7,197707,1728
920,1977,8,197708,1563
921,1977,9,197709,1267
922,1977,10,197710,826
923,1977,11,197711,40
924,1977,12,197712,646
925,1978,1,197801,479
926,1978,2,197802,461
927,1978,3,197803,1089
928,1978,4,197804,2038
929,1978,5,197805,3748
930,1978,6,197806,2733
931,1978,7,197807,832
932,1978,8,197808,2669
933,1978,9,197809,743
934,1978,10,197810,930
935,1978,11,197811,301
936,1978,12,197812,77
937,1979,1,197901,447
938,1979,2,197902,928
939,1979,3,197903,971
940,1979,4,197904,2443
941,1979,5,197905,3392
942,1979,6,197906,2470
943,1979,7,197907,1113
944,1979,8,197908,2846
945,1979,9,197909,1600
946,1979,10,197910,37
947,1979,11,197911,139
948,1979,12,197912,52
949,1980,1,198001,209
950,1980,2,198002,700
951,1980,3,198003,830
952,1980,4,198004,2455
953,1980,5,198005,3092
954,1980,6,198006,2115
955,1980,7,198007,1816
956,1980,8,198008,2092
957,1980,9,198009,637
958,1980,10,198010,466
959,1980,11,198011,27
960,1980,12,198012,100
961,1981,1,198101,211
962,1981,2,198102,494
963,1981,3,198103,1501
964,1981,4,198104,3130
965,1981,5,198105,3055
966,1981,6,198106,2968
967,1981,7,198107,3396
968,1981,8,198108,1465
969,1981,9,198109,1609
970,1981,10,198110,1503
971,1981,11,198111,971
972,1981,12,198112,9
973,1982,1,198201,115
974,1982,2,198202,1166
975,1982,3,198203,762
976,1982,4,198204,2054
977,1982,5,198205,3141
978,1982,6,198206,1307
979,1982,7,198207,1348
980,1982,8,198208,2450
981,1982,9,198209,1177
982,1982,10,198210,566
983,1982,11,198211,1501
984,1982,12,198212,488
985,1983,1,198301,1607
986,1983,2,198302,2966
987,1983,3,198303,3083
988,1983,4,198304,1245
989,1983,5,198305,3011
990,1983,6,198306,1887
991,1983,7,198307,814
992,1983,8,198308,1705
993,1983,9,198309,1968
994,1983,10,198310,984
995,1983,11,198311,100
996,1983,12,198312,212
997,1984,1,198401,152
998,1984,2,198402,284
999,1984,3,198403,729
1000,1984,4,198404,2445
1001,1984,5,198405,3030
1002,1984,6,198406,2398
1003,1984,7,198407,1042
1004,1984,8,198408,2223
1005,1984,9,198409,906
1006,1984,10,198410,250
1007,1984,11,198411,325
1008,1984,12,198412,146
1009,1985,1,198501,386
1010,1985,2,198502,2174
1011,1985,3,198503,1570
1012,1985,4,198504,1586
1013,1985,5,198505,2652
1014,1985,6,198506,1108
1015,1985,7,198507,1206
1016,1985,8,198508,2551
1017,1985,9,198509,2743
1018,1985,10,198510,317
1019,1985,11,198511,214
1020,1985,12,198512,140
1021,1986,1,198601,45
1022,1986,2,198602,852
1023,1986,3,198603,795
1024,1986,4,198604,1631
1025,1986,5,198605,2803
1026,1986,6,198606,2787
1027,1986,7,198607,1747
1028,1986,8,198608,1588
1029,1986,9,198609,606
1030,1986,10,198610,441
1031,1986,11,198611,316
1032,1986,12,198612,401
1033,1987,1,198701,70
1034,1987,2,198702,368
1035,1987,3,198703,1395
1036,1987,4,198704,1409
1037,1987,5,198705,3445
1038,1987,6,198706,2867
1039,1987,7,198707,3151
1040,1987,8,198708,1616
1041,1987,9,198709,1236
1042,1987,10,198710,474
1043,1987,11,198711,827
1044,1987,12,198712,35
1045,1988,1,198801,176
1046,1988,2,198802,620
1047,1988,3,198803,1201
1048,1988,4,198804,1061
1049,1988,5,198805,2973
1050,1988,6,198806,1999
1051,1988,7,198807,1728
1052,1988,8,198808,3293
1053,1988,9,198809,913
1054,1988,10,198810,924
1055,1988,11,198811,681
1056,1988,12,198812,470
1057,1989,1,198901,1109
1058,1989,2,198902,245
1059,1989,3,198903,961
1060,1989,4,198904,1613
1061,1989,5,198905,3234
1062,1989,6,198906,2096
1063,1989,7,198907,925
1064,1989,8,198908,1331
1065,1989,9,198909,842
1066,1989,10,198910,80
1067,1989,11,198911,90
1068,1989,12,198912,542
1069,1990,1,199001,811
1070,1990,2,199002,2365
1071,1990,3,199003,862
1072,1990,4,199004,1623
1073,1990,5,199005,2578
1074,1990,6,199006,1770
1075,1990,7,199007,1614
1076,1990,8,199008,430
1077,1990,9,199009,1110
1078,1990,10,199010,250
1079,1990,11,199011,1298
1080,1990,12,199012,58
1081,1991,1,199101,493
1082,1991,2,199102,178
